"","year","discipline","total.awarded.Female","total.awarded.Male","total.awarded.Unknown Gender","female.ratio"
"828",1974,"Architecture and Environmental Design",1670,8972,NA,0.156925389964292
"829",1974,"Science Education",713,1215,NA,0.369813278008299
"830",1974,"Mathematics Education",1516,1410,NA,0.518113465481887
"831",1974,"Other Science/Technical Education",1961,11193,NA,0.149080127717804
"832",1974,"Non-Science Education",210215,88644,NA,0.703391900528343
"833",1974,"Business and Management",63906,190401,NA,0.251294694994632
"834",1974,"Communication and Librarianship",15283,13672,NA,0.527819029528579
"835",1974,"Law",3545,27809,NA,0.113063723926772
"836",1974,"Social Service Professions",15552,8102,NA,0.657478650545362
"837",1974,"Vocational Studies and Home Economics",21922,26868,NA,0.449313383890141
"838",1974,"Other Non-sciences or Unknown Disciplines",87136,121726,5460,0.41719412818033
"891",1975,"Aerospace Engineering",33,1781,NA,0.0181918412348401
"892",1975,"Chemical Engineering",179,4688,NA,0.0367783028559688
"893",1975,"Civil Engineering",290,11678,NA,0.0242312834224599
"894",1975,"Electrical Engineering",199,14219,NA,0.0138021917048134
"895",1975,"Mechanical Engineering",109,9475,NA,0.011373121869783
"896",1975,"Materials Engineering",58,1373,NA,0.0405310971348707
"897",1975,"Industrial Engineering",120,4269,NA,0.0273410799726589
"898",1975,"Other Engineering",295,9341,NA,0.0306143628061436
"899",1975,"Astronomy",53,291,NA,0.15406976744186
"900",1975,"Chemistry",3006,11473,NA,0.207611022860695
"901",1975,"Physics",538,5835,NA,0.0844186411423192
"902",1975,"Other Physical Sciences",344,1897,NA,0.153502900490852
"903",1975,"Atmospheric Sciences",33,503,NA,0.0615671641791045
"904",1975,"Earth Sciences",977,4830,NA,0.168245221284656
"905",1975,"Oceanography",36,481,NA,0.0696324951644101
"906",1975,"Mathematics and Statistics",9238,14421,NA,0.390464516674416
"907",1975,"Computer Science",1308,6243,NA,0.173222089789432
"908",1975,"Agricultural Sciences",2523,17173,NA,0.128097075548335
"909",1975,"Biological Sciences",20135,42076,NA,0.323656588063204
"910",1975,"Medical Sciences",5332,25946,NA,0.170471257753053
"911",1975,"Other Life Sciences",66425,8510,NA,0.886434910255555
"912",1975,"Psychology",30902,30080,NA,0.506739693680102
"913",1975,"Economics",2909,15747,NA,0.155928387650086
"914",1975,"Political Science and Public Administration",10116,32600,NA,0.236819926959453
"915",1975,"Sociology",19537,15152,NA,0.563204474040762
"916",1975,"Anthropology",3886,3223,NA,0.546631031087354
"917",1975,"Linguistics",643,463,NA,0.581374321880651
"918",1975,"Area and Ethnic Studies",2476,2437,NA,0.503969061673112
"919",1975,"Other Social Sciences",10410,16886,NA,0.381374560375147
"920",1975,"Science Technologies",664,2043,NA,0.245289988917621
"921",1975,"Engineering Technologies",3095,56723,NA,0.0517402788458324
"922",1975,"Health Technologies",42221,8772,NA,0.827976388916126
"923",1975,"Other Science and Engineering Technologies",189,659,NA,0.222877358490566
"924",1975,"Interdisciplinary or Other Sciences",1113,4196,NA,0.209644000753438
"925",1975,"History",12501,24620,NA,0.336763557016244
"926",1975,"English and Literature",36172,22239,NA,0.619266918902262
"927",1975,"Foreign Languages",17268,6316,NA,0.73219131614654
"928",1975,"Other Humanities",1546,4876,NA,0.240734973528496
"929",1975,"Religion and Theology",3421,13324,NA,0.204299790982383
"930",1975,"Arts and Music",32290,22550,NA,0.588803792851933
"931",1975,"Architecture and Environmental Design",2045,9215,NA,0.181616341030195
"932",1975,"Science Education",728,1035,NA,0.412932501418037
"933",1975,"Mathematics Education",1523,1240,NA,0.551212450235252
"934",1975,"Other Science/Technical Education",2554,10730,NA,0.192261367058115
"935",1975,"Non-Science Education",204268,85002,NA,0.706149963701732
"936",1975,"Business and Management",71900,190387,NA,0.274127196544244
"937",1975,"Communication and Librarianship",16644,14301,NA,0.537857489093553
"938",1975,"Law",4617,26582,NA,0.147985512356165
"939",1975,"Social Service Professions",17599,8573,NA,0.672436191349534
"940",1975,"Vocational Studies and Home Economics",25154,29387,NA,0.461194330870354
"941",1975,"Other Non-sciences or Unknown Disciplines",94900,123825,5333,0.433878157503715
"994",1976,"Aerospace Engineering",41,1586,NA,0.02519975414874
"995",1976,"Chemical Engineering",339,4661,NA,0.0678
"996",1976,"Civil Engineering",445,12073,NA,0.0355488097140118
"997",1976,"Electrical Engineering",311,13986,NA,0.021752815275932
"998",1976,"Mechanical Engineering",184,9270,NA,0.0194626613073831
"999",1976,"Materials Engineering",79,1325,NA,0.0562678062678063
"1000",1976,"Industrial Engineering",171,3942,NA,0.0415754923413567
"1001",1976,"Other Engineering",381,8876,NA,0.0411580425623852
"1002",1976,"Astronomy",33,348,NA,0.0866141732283465
"1003",1976,"Chemistry",3077,11449,NA,0.211827068704392
"1004",1976,"Physics",565,5427,NA,0.0942923898531375
"1005",1976,"Other Physical Sciences",409,1980,NA,0.171201339472583
"1006",1976,"Atmospheric Sciences",54,569,NA,0.086677367576244
"1007",1976,"Earth Sciences",1085,4952,NA,0.179725028987908
"1008",1976,"Oceanography",41,432,NA,0.0866807610993657
"1009",1976,"Mathematics and Statistics",7961,12843,NA,0.382666794847145
"1010",1976,"Computer Science",1524,6987,NA,0.179062389848431
"1011",1976,"Agricultural Sciences",3365,17371,NA,0.162278163580247
"1012",1976,"Biological Sciences",21953,42978,NA,0.338097364895042
"1013",1976,"Medical Sciences",6743,28061,NA,0.193742098609355
"1014",1976,"Other Life Sciences",73413,10430,NA,0.875600825352146
"1015",1976,"Psychology",31866,28937,NA,0.524085982599543
"1016",1976,"Economics",3467,16041,NA,0.177721960221448
"1017",1976,"Political Science and Public Administration",11741,33125,NA,0.261690366870236
"1018",1976,"Sociology",17679,13086,NA,0.574646513895661
"1019",1976,"Anthropology",3681,2988,NA,0.55195681511471
"1020",1976,"Linguistics",757,451,NA,0.626655629139073
"1021",1976,"Area and Ethnic Studies",2492,2300,NA,0.520033388981636
"1022",1976,"Other Social Sciences",9688,15888,NA,0.378792618079449
"1023",1976,"Science Technologies",744,2800,NA,0.209932279909707
"1024",1976,"Engineering Technologies",4794,63955,NA,0.0697319233734309
"1025",1976,"Health Technologies",46102,10378,NA,0.816253541076487
"1026",1976,"Other Science and Engineering Technologies",155,663,NA,0.189486552567237
"1027",1976,"Interdisciplinary or Other Sciences",1427,4739,NA,0.231430424910801
"1028",1976,"History",11322,22004,NA,0.339734741643161
"1029",1976,"English and Literature",32527,20247,NA,0.616345169970061
"1030",1976,"Foreign Languages",15018,5727,NA,0.723933477946493
"1031",1976,"Other Humanities",1464,4375,NA,0.250727864360336
"1032",1976,"Religion and Theology",3552,14238,NA,0.199662731871838
"1033",1976,"Arts and Music",33439,23931,NA,0.582865609203416
"1034",1976,"Architecture and Environmental Design",2440,10026,NA,0.19573239210653
"1035",1976,"Science Education",672,914,NA,0.423707440100883
"1036",1976,"Mathematics Education",1279,965,NA,0.569964349376114
"1037",1976,"Other Science/Technical Education",3238,10571,NA,0.234484756318343
"1038",1976,"Non-Science Education",202087,83502,NA,0.707614789085014
"1039",1976,"Business and Management",87268,205386,NA,0.298195138286167
"1040",1976,"Communication and Librarianship",17553,15384,NA,0.532926496037891
"1041",1976,"Law",6540,28044,NA,0.18910478834143
"1042",1976,"Social Service Professions",18180,8849,NA,0.672610899404343
"1043",1976,"Vocational Studies and Home Economics",27655,35427,NA,0.438397641165467
"1044",1976,"Other Non-sciences or Unknown Disciplines",104087,134157,NA,0.43689242960998
"1096",1977,"Aerospace Engineering",40,1542,NA,0.0252844500632111
"1097",1977,"Chemical Engineering",529,4946,NA,0.09662100456621
"1098",1977,"Civil Engineering",679,12186,NA,0.0527788573649436
"1099",1977,"Electrical Engineering",420,13952,NA,0.0292234901196772
"1100",1977,"Mechanical Engineering",302,10083,NA,0.0290804044294656
"1101",1977,"Materials Engineering",92,1376,NA,0.0626702997275204
"1102",1977,"Industrial Engineering",229,3748,NA,0.0575810912748303
"1103",1977,"Other Engineering",524,9326,NA,0.0531979695431472
"1104",1977,"Astronomy",45,271,NA,0.142405063291139
"1105",1977,"Chemistry",3238,11430,NA,0.220752658849196
"1106",1977,"Physics",539,5145,NA,0.0948275862068965
"1107",1977,"Other Physical Sciences",488,2193,NA,0.182021633718762
"1108",1977,"Atmospheric Sciences",56,601,NA,0.0852359208523592
"1109",1977,"Earth Sciences",1324,5352,NA,0.198322348711803
"1110",1977,"Oceanography",67,463,NA,0.126415094339623
"1111",1977,"Mathematics and Statistics",7358,11466,NA,0.390883977900552
"1112",1977,"Computer Science",2024,7416,NA,0.214406779661017
"1113",1977,"Agricultural Sciences",4314,18075,NA,0.192683907275894
"1114",1977,"Biological Sciences",22863,41887,NA,0.353096525096525
"1115",1977,"Medical Sciences",7984,27324,NA,0.226124391072845
"1116",1977,"Other Life Sciences",77683,10740,NA,0.878538389333092
"1117",1977,"Psychology",32097,26778,NA,0.545171974522293
"1118",1977,"Economics",4172,16062,NA,0.206187605021251
"1119",1977,"Political Science and Public Administration",12650,32024,NA,0.283162465863813
"1120",1977,"Sociology",16256,11328,NA,0.589327146171694
"1121",1977,"Anthropology",3494,2808,NA,0.554427165979054
"1122",1977,"Linguistics",790,510,NA,0.607692307692308
"1123",1977,"Area and Ethnic Studies",2469,2203,NA,0.528467465753425
"1124",1977,"Other Social Sciences",9229,14111,NA,0.39541559554413
"1125",1977,"Science Technologies",1072,2969,NA,0.265280871071517
"1126",1977,"Engineering Technologies",5860,68006,NA,0.0793328459643138
"1127",1977,"Health Technologies",48866,10598,NA,0.821774519036728
"1128",1977,"Other Science and Engineering Technologies",181,890,NA,0.169000933706816
"1129",1977,"Interdisciplinary or Other Sciences",1417,5245,NA,0.212698889222456
"1130",1977,"History",10429,19509,NA,0.348353263411049
"1131",1977,"English and Literature",29318,17920,NA,0.620644396460477
"1132",1977,"Foreign Languages",13843,5133,NA,0.72950042158516
"1133",1977,"Other Humanities",1343,4109,NA,0.246331621423331
"1134",1977,"Religion and Theology",3972,15274,NA,0.206380546607087
"1135",1977,"Arts and Music",34011,23469,NA,0.591701461377871
"1136",1977,"Architecture and Environmental Design",2718,9826,NA,0.216677295918367
"1137",1977,"Science Education",775,932,NA,0.454012888107791
"1138",1977,"Mathematics Education",1132,824,NA,0.578732106339468
"1139",1977,"Other Science/Technical Education",3535,10696,NA,0.248401377274963
"1140",1977,"Non-Science Education",193601,79046,NA,0.710079333350449
"1141",1977,"Business and Management",102852,211905,NA,0.326766362622595
"1142",1977,"Communication and Librarianship",18565,15418,NA,0.546302563046229
"1143",1977,"Law",8115,28441,NA,0.221988182514498
"1144",1977,"Social Service Professions",20451,8540,NA,0.705425821806768
"1145",1977,"Vocational Studies and Home Economics",29135,36318,NA,0.445128565535575
"1146",1977,"Other Non-sciences or Unknown Disciplines",108117,128848,NA,0.456257253180849
"1198",1978,"Aerospace Engineering",74,1638,NA,0.0432242990654206
"1199",1978,"Chemical Engineering",849,5971,NA,0.124486803519062
"1200",1978,"Civil Engineering",965,12474,NA,0.0718059379418111
"1201",1978,"Electrical Engineering",590,14868,NA,0.0381679389312977
"1202",1978,"Mechanical Engineering",544,11008,NA,0.0470914127423823
"1203",1978,"Materials Engineering",150,1418,NA,0.0956632653061224
"1204",1978,"Industrial Engineering",466,4086,NA,0.102372583479789
"1205",1978,"Other Engineering",744,9942,NA,0.0696238068500842
"1206",1978,"Astronomy",42,270,NA,0.134615384615385
"1207",1978,"Chemistry",3529,11362,NA,0.236988785172252
"1208",1978,"Physics",541,4956,NA,0.098417318537384
"1209",1978,"Other Physical Sciences",502,2295,NA,0.179478012155881
"1210",1978,"Atmospheric Sciences",49,561,NA,0.080327868852459
"1211",1978,"Earth Sciences",1522,5678,NA,0.211388888888889
"1212",1978,"Oceanography",54,448,NA,0.107569721115538
"1213",1978,"Mathematics and Statistics",6520,10369,NA,0.386050091775712
"1214",1978,"Computer Science",2446,8012,NA,0.233887932683113
"1215",1978,"Agricultural Sciences",5135,17885,NA,0.223066898349262
"1216",1978,"Biological Sciences",23454,38923,NA,0.376003975824422
"1217",1978,"Medical Sciences",9065,27174,NA,0.250144871547228
"1218",1978,"Other Life Sciences",81882,11437,NA,0.877441892862118
"1219",1978,"Psychology",31774,24074,NA,0.5689371150265
"1220",1978,"Economics",4655,16204,NA,0.223165060645285
"1221",1978,"Political Science and Public Administration",13891,30313,NA,0.314247579404579
"1222",1978,"Sociology",15588,9741,NA,0.615421058865332
"1223",1978,"Anthropology",3240,2427,NA,0.571731074642668
"1224",1978,"Linguistics",783,494,NA,0.613155833985904
"1225",1978,"Area and Ethnic Studies",2412,1985,NA,0.548555833522857
"1226",1978,"Other Social Sciences",9325,14889,NA,0.385107788882465
"1227",1978,"Science Technologies",1116,2894,NA,0.278304239401496
"1228",1978,"Engineering Technologies",7311,70522,NA,0.0939318797939177
"1229",1978,"Health Technologies",51191,9983,NA,0.836809755778599
"1230",1978,"Other Science and Engineering Technologies",281,804,NA,0.258986175115207
"1231",1978,"Interdisciplinary or Other Sciences",1491,4430,NA,0.251815571693971
"1232",1978,"History",9610,17388,NA,0.355952292762427
"1233",1978,"English and Literature",27893,16460,NA,0.628886433837621
"1234",1978,"Foreign Languages",12506,4605,NA,0.730874875810882
"1235",1978,"Other Humanities",1273,3612,NA,0.260593654042989
"1236",1978,"Religion and Theology",4310,15817,NA,0.214140209668604
"1237",1978,"Arts and Music",35099,22806,NA,0.60614800103618
"1238",1978,"Architecture and Environmental Design",3027,9433,NA,0.242937399678973
"1239",1978,"Science Education",744,887,NA,0.456161863887186
"1240",1978,"Mathematics Education",1032,714,NA,0.59106529209622
"1241",1978,"Other Science/Technical Education",3781,10182,NA,0.270787080140371
"1242",1978,"Non-Science Education",185759,71772,NA,0.721307337757396
"1243",1978,"Business and Management",120503,216560,NA,0.357508833660176
"1244",1978,"Communication and Librarianship",19772,15773,NA,0.556252637501758
"1245",1978,"Law",9447,27647,NA,0.254677306302906
"1246",1978,"Social Service Professions",21996,8328,NA,0.725366046695687
"1247",1978,"Vocational Studies and Home Economics",31737,34240,NA,0.481031268472346
"1248",1978,"Other Non-sciences or Unknown Disciplines",110556,123524,NA,0.4723000683527
"1300",1979,"Aerospace Engineering",83,1770,NA,0.0447922288181328
"1301",1979,"Chemical Engineering",1187,6859,NA,0.147526721352225
"1302",1979,"Civil Engineering",1270,12773,NA,0.0904365164138717
"1303",1979,"Electrical Engineering",816,15806,NA,0.0490915653952593
"1304",1979,"Mechanical Engineering",699,12024,NA,0.0549398726715397
"1305",1979,"Materials Engineering",245,1526,NA,0.138339920948617
"1306",1979,"Industrial Engineering",570,3885,NA,0.127946127946128
"1307",1979,"Other Engineering",1031,10722,NA,0.0877222836722539
"1308",1979,"Astronomy",39,278,NA,0.123028391167192
"1309",1979,"Chemistry",3790,11136,NA,0.253919335387914
"1310",1979,"Physics",600,4975,NA,0.10762331838565
"1311",1979,"Other Physical Sciences",458,2252,NA,0.1690036900369
"1312",1979,"Atmospheric Sciences",54,504,NA,0.0967741935483871
"1313",1979,"Earth Sciences",1616,5617,NA,0.223420434121388
"1314",1979,"Oceanography",68,465,NA,0.127579737335835
"1315",1979,"Mathematics and Statistics",6137,9540,NA,0.391465203801748
"1316",1979,"Computer Science",3068,8992,NA,0.254394693200663
"1317",1979,"Agricultural Sciences",5689,17182,NA,0.248742949586813
"1318",1979,"Biological Sciences",23605,36398,NA,0.393396996816826
"1319",1979,"Medical Sciences",9926,26960,NA,0.269099387301415
"1320",1979,"Other Life Sciences",85104,11906,NA,0.877270384496444
"1321",1979,"Psychology",31777,21940,NA,0.591563192285496
"1322",1979,"Economics",5322,16154,NA,0.247811510523375
"1323",1979,"Political Science and Public Administration",14877,28678,NA,0.341568132246585
"1324",1979,"Sociology",14309,8310,NA,0.632609752862638
"1325",1979,"Anthropology",3110,2217,NA,0.583818284212502
"1326",1979,"Linguistics",774,457,NA,0.628757108042242
"1327",1979,"Area and Ethnic Studies",2212,1798,NA,0.551620947630923
"1328",1979,"Other Social Sciences",9359,13266,NA,0.413657458563536
"1329",1979,"Science Technologies",1129,2640,NA,0.299548951976652
"1330",1979,"Engineering Technologies",8110,69980,NA,0.103854526828019
"1331",1979,"Health Technologies",51385,10063,NA,0.836235516208827
"1332",1979,"Other Science and Engineering Technologies",444,1097,NA,0.288124594419208
"1333",1979,"Interdisciplinary or Other Sciences",1582,4316,NA,0.268226517463547
"1334",1979,"History",9020,15440,NA,0.368765331152903
"1335",1979,"English and Literature",26218,15103,NA,0.634495776965707
"1336",1979,"Foreign Languages",11471,4289,NA,0.727855329949239
"1337",1979,"Other Humanities",1223,3351,NA,0.267380848272847
"1338",1979,"Religion and Theology",4428,16094,NA,0.215768443621479
"1339",1979,"Arts and Music",35638,22191,NA,0.616265195663076
"1340",1979,"Architecture and Environmental Design",3312,9205,NA,0.264600143804426
"1341",1979,"Science Education",730,759,NA,0.490261920752183
"1342",1979,"Mathematics Education",863,596,NA,0.591501028101439
"1343",1979,"Other Science/Technical Education",4034,9193,NA,0.304982233310652
"1344",1979,"Non-Science Education",175826,65873,NA,0.727458533134188
"1345",1979,"Business and Management",138483,217783,NA,0.388706752819522
"1346",1979,"Communication and Librarianship",19790,15198,NA,0.565622499142563
"1347",1979,"Law",10620,27138,NA,0.281264897505164
"1348",1979,"Social Service Professions",22956,8069,NA,0.739919419822724
"1349",1979,"Vocational Studies and Home Economics",32215,30245,NA,0.51577009285943
"1350",1979,"Other Non-sciences or Unknown Disciplines",110885,114282,NA,0.492456709908646
"1402",1980,"Aerospace Engineering",92,1813,NA,0.0482939632545932
"1403",1980,"Chemical Engineering",1446,7532,NA,0.161060369792827
"1404",1980,"Civil Engineering",1360,13193,NA,0.0934515220229506
"1405",1980,"Electrical Engineering",1100,17169,NA,0.0602112868794132
"1406",1980,"Mechanical Engineering",1006,13552,NA,0.0691028987498283
"1407",1980,"Materials Engineering",298,1835,NA,0.139709329582747
"1408",1980,"Industrial Engineering",685,3961,NA,0.147438656909169
"1409",1980,"Other Engineering",1183,11042,NA,0.0967689161554192
"1410",1980,"Astronomy",42,251,NA,0.143344709897611
"1411",1980,"Chemistry",3984,10746,NA,0.270468431771894
"1412",1980,"Physics",615,4804,NA,0.113489573722089
"1413",1980,"Other Physical Sciences",524,2489,NA,0.173913043478261
"1414",1980,"Atmospheric Sciences",62,541,NA,0.102819237147595
"1415",1980,"Earth Sciences",1691,5687,NA,0.229194903767959
"1416",1980,"Oceanography",89,384,NA,0.18816067653277
"1417",1980,"Mathematics and Statistics",5984,9081,NA,0.39721208098241
"1418",1980,"Computer Science",4190,10910,NA,0.277483443708609
"1419",1980,"Agricultural Sciences",6174,16140,NA,0.276687281527292
"1420",1980,"Biological Sciences",23348,33937,NA,0.407576154316139
"1421",1980,"Medical Sciences",10576,27091,NA,0.280776276316139
"1422",1980,"Other Life Sciences",86969,11663,NA,0.881752372455187
"1423",1980,"Psychology",32558,20591,NA,0.612579728687275
"1424",1980,"Economics",6307,16656,NA,0.27465923442059
"1425",1980,"Political Science and Public Administration",16158,27497,NA,0.37012942389188
"1426",1980,"Sociology",13712,7433,NA,0.648474816741547
"1427",1980,"Anthropology",2945,1958,NA,0.600652661635733
"1428",1980,"Linguistics",802,435,NA,0.648342764753436
"1429",1980,"Area and Ethnic Studies",2177,1666,NA,0.566484517304189
"1430",1980,"Other Social Sciences",8910,11282,NA,0.441263866877971
"1431",1980,"Science Technologies",1161,2554,NA,0.312516823687752
"1432",1980,"Engineering Technologies",9538,70971,NA,0.118471226819362
"1433",1980,"Health Technologies",48605,9372,NA,0.838349690394467
"1434",1980,"Other Science and Engineering Technologies",643,788,NA,0.449336128581412
"1435",1980,"Interdisciplinary or Other Sciences",1369,4079,NA,0.251284875183554
"1436",1980,"History",8417,14101,NA,0.373789857003286
"1437",1980,"English and Literature",25626,14114,NA,0.644841469552089
"1438",1980,"Foreign Languages",10751,4011,NA,0.728288849749356
"1439",1980,"Other Humanities",1229,3243,NA,0.274821109123435
"1440",1980,"Religion and Theology",4675,16213,NA,0.223812715434699
"1441",1980,"Arts and Music",36954,22369,NA,0.622928712303828
"1442",1980,"Architecture and Environmental Design",3461,8951,NA,0.27884305510796
"1443",1980,"Science Education",684,705,NA,0.49244060475162
"1444",1980,"Mathematics Education",814,573,NA,0.586878154289834
"1445",1980,"Other Science/Technical Education",4074,8755,NA,0.317561774105542
"1446",1980,"Non-Science Education",167536,59610,NA,0.737569668847349
"1447",1980,"Business and Management",157335,222765,NA,0.413930544593528
"1448",1980,"Communication and Librarianship",21080,15386,NA,0.578072725278341
"1449",1980,"Law",11422,26953,NA,0.297641693811075
"1450",1980,"Social Service Professions",22962,7351,NA,0.757496783558209
"1451",1980,"Vocational Studies and Home Economics",33145,27981,NA,0.542240617740405
"1452",1980,"Other Non-sciences or Unknown Disciplines",112469,108992,NA,0.50785014065682
"1504",1981,"Aerospace Engineering",150,2176,NA,0.0644883920894239
"1505",1981,"Chemical Engineering",1554,7807,NA,0.16600790513834
"1506",1981,"Civil Engineering",1557,13561,NA,0.10298981346739
"1507",1981,"Electrical Engineering",1341,18136,NA,0.0688504389793089
"1508",1981,"Mechanical Engineering",1286,15039,NA,0.0787748851454824
"1509",1981,"Materials Engineering",365,1955,NA,0.157327586206897
"1510",1981,"Industrial Engineering",942,4679,NA,0.167585838818716
"1511",1981,"Other Engineering",1302,10890,NA,0.106791338582677
"1512",1981,"Astronomy",43,234,NA,0.155234657039711
"1513",1981,"Chemistry",4201,10632,NA,0.283219847637026
"1514",1981,"Physics",608,4993,NA,0.108552044277808
"1515",1981,"Other Physical Sciences",460,2309,NA,0.166124954857349
"1516",1981,"Atmospheric Sciences",80,505,NA,0.136752136752137
"1517",1981,"Earth Sciences",1951,6032,NA,0.244394337968182
"1518",1981,"Oceanography",90,368,NA,0.196506550218341
"1519",1981,"Mathematics and Statistics",5772,8698,NA,0.398894263994471
"1520",1981,"Computer Science",5949,13754,NA,0.301933715677816
"1521",1981,"Agricultural Sciences",6186,15149,NA,0.289946097961097
"1522",1981,"Biological Sciences",22980,30805,NA,0.4272566700753
"1523",1981,"Medical Sciences",11738,26958,NA,0.303338846392392
"1524",1981,"Other Life Sciences",88695,11795,NA,0.882625136829535
"1525",1981,"Psychology",32865,19502,NA,0.627589894399144
"1526",1981,"Economics",6721,17361,NA,0.279088115605016
"1527",1981,"Political Science and Public Administration",16527,26754,NA,0.381853469189714
"1528",1981,"Sociology",13129,6331,NA,0.674665981500514
"1529",1981,"Anthropology",2835,1846,NA,0.605639820551164
"1530",1981,"Linguistics",783,432,NA,0.644444444444444
"1531",1981,"Area and Ethnic Studies",2204,1649,NA,0.572021801193875
"1532",1981,"Other Social Sciences",8615,10459,NA,0.451661948201741
"1533",1981,"Science Technologies",1153,2264,NA,0.337430494585894
"1534",1981,"Engineering Technologies",12247,86452,NA,0.124084337227328
"1535",1981,"Health Technologies",50054,8572,NA,0.853785010063794
"1536",1981,"Other Science and Engineering Technologies",844,942,NA,0.472564389697648
"1537",1981,"Interdisciplinary or Other Sciences",1703,4229,NA,0.287086985839514
"1538",1981,"History",8112,13203,NA,0.380577058409571
"1539",1981,"English and Literature",25299,13646,NA,0.649608422133778
"1540",1981,"Foreign Languages",10010,3880,NA,0.720662347012239
"1541",1981,"Other Humanities",1234,3181,NA,0.279501698754247
"1542",1981,"Religion and Theology",4694,15716,NA,0.229985301322881
"1543",1981,"Arts and Music",37429,22398,NA,0.625620539221422
"1544",1981,"Architecture and Environmental Design",3606,9133,NA,0.283067744720936
"1545",1981,"Science Education",669,587,NA,0.532643312101911
"1546",1981,"Mathematics Education",789,499,NA,0.612577639751553
"1547",1981,"Other Science/Technical Education",4002,7700,NA,0.341992821739873
"1548",1981,"Non-Science Education",159509,53670,NA,0.748239742188489
"1549",1981,"Business and Management",176889,225977,NA,0.439076516757433
"1550",1981,"Communication and Librarianship",22693,15627,NA,0.592197286012526
"1551",1981,"Law",12540,26636,NA,0.320093935062283
"1552",1981,"Social Service Professions",23747,6888,NA,0.775159131712094
"1553",1981,"Vocational Studies and Home Economics",33130,25145,NA,0.568511368511369
"1554",1981,"Other Non-sciences or Unknown Disciplines",115432,108411,NA,0.515682867009466
"1606",1982,"Aerospace Engineering",211,2526,NA,0.0770917062477165
"1607",1982,"Chemical Engineering",1820,7980,NA,0.185714285714286
"1608",1982,"Civil Engineering",1686,13418,NA,0.111626059322034
"1609",1982,"Electrical Engineering",1720,19824,NA,0.0798366134422577
"1610",1982,"Mechanical Engineering",1434,15815,NA,0.0831352542176358
"1611",1982,"Materials Engineering",412,2140,NA,0.161442006269592
"1612",1982,"Industrial Engineering",1175,4641,NA,0.202028885832187
"1613",1982,"Other Engineering",1531,11329,NA,0.11905132192846
"1614",1982,"Astronomy",46,223,NA,0.171003717472119
"1615",1982,"Chemistry",4394,10406,NA,0.296891891891892
"1616",1982,"Physics",683,4949,NA,0.121271306818182
"1617",1982,"Other Physical Sciences",523,2307,NA,0.184805653710247
"1618",1982,"Atmospheric Sciences",94,527,NA,0.151368760064412
"1619",1982,"Earth Sciences",2141,6316,NA,0.253163060186827
"1620",1982,"Oceanography",104,380,NA,0.214876033057851
"1621",1982,"Mathematics and Statistics",6062,9058,NA,0.400925925925926
"1622",1982,"Computer Science",8446,17171,NA,0.329702931646953
"1623",1982,"Agricultural Sciences",6231,14478,NA,0.30088367376503
"1624",1982,"Biological Sciences",22936,29170,NA,0.44017963382336
"1625",1982,"Medical Sciences",11824,26511,NA,0.30843876353202
"1626",1982,"Other Life Sciences",91724,12113,NA,0.883346013463409
"1627",1982,"Psychology",33676,18509,NA,0.64531953626521
"1628",1982,"Economics",7555,17668,NA,0.299528208381239
"1629",1982,"Political Science and Public Administration",18245,27161,NA,0.401819142844558
"1630",1982,"Sociology",12295,5789,NA,0.679882769298828
"1631",1982,"Anthropology",2579,1764,NA,0.593829150356896
"1632",1982,"Linguistics",762,456,NA,0.625615763546798
"1633",1982,"Area and Ethnic Studies",2274,1503,NA,0.602065131056394
"1634",1982,"Other Social Sciences",8611,10006,NA,0.462534242896278
"1635",1982,"Science Technologies",1141,2691,NA,0.297755741127349
"1636",1982,"Engineering Technologies",12816,95913,NA,0.117871037165798
"1637",1982,"Health Technologies",51030,9107,NA,0.848562449074613
"1638",1982,"Other Science and Engineering Technologies",1182,886,NA,0.571566731141199
"1639",1982,"Interdisciplinary or Other Sciences",1602,3880,NA,0.29222911346224
"1640",1982,"History",7556,12541,NA,0.375976513907548
"1641",1982,"English and Literature",26101,13633,NA,0.65689334071576
"1642",1982,"Foreign Languages",9601,3684,NA,0.722694768535943
"1643",1982,"Other Humanities",1169,2945,NA,0.284151677199806
"1644",1982,"Religion and Theology",4644,15295,NA,0.232910376648779
"1645",1982,"Arts and Music",36944,21808,NA,0.628812636165577
"1646",1982,"Architecture and Environmental Design",4018,9162,NA,0.304855842185129
"1647",1982,"Science Education",577,495,NA,0.538246268656716
"1648",1982,"Mathematics Education",652,423,NA,0.606511627906977
"1649",1982,"Other Science/Technical Education",3992,7057,NA,0.361299665128066
"1650",1982,"Non-Science Education",151986,49456,NA,0.754490126190169
"1651",1982,"Business and Management",197536,232862,NA,0.458961240526211
"1652",1982,"Communication and Librarianship",24599,16512,NA,0.598355671231544
"1653",1982,"Law",12898,26027,NA,0.331355170199101
"1654",1982,"Social Service Professions",23195,6321,NA,0.785844965442472
"1655",1982,"Vocational Studies and Home Economics",32427,25042,NA,0.564252031530042
"1656",1982,"Other Non-sciences or Unknown Disciplines",118796,111128,NA,0.516675075242254
"1708",1983,"Aerospace Engineering",212,2548,NA,0.0768115942028986
"1709",1983,"Chemical Engineering",1996,8466,NA,0.190785700630855
"1710",1983,"Civil Engineering",1883,12800,NA,0.128243546959068
"1711",1983,"Electrical Engineering",2293,22596,NA,0.0921290529952991
