"coverage","age","wage","cit","mar","educ","race"
"No Coverage",16,0,"Citizen","Never Married","Less than HS","Two or More"
"No Coverage",60,0,"Citizen","Divorced","Undergraduate Degree","White"
"No Coverage",57,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",46,15000,"Citizen","Married","Less than HS","White"
"No Coverage",43,0,"Citizen","Married","Less than HS","White"
"No Coverage",32,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",39,0,"Citizen","Married","Less than HS","White"
"No Coverage",42,0,"Citizen","Married","Less than HS","White"
"No Coverage",22,7000,"Citizen","Never Married","Less than HS","White"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",45,0,"Non-citizen","Never Married","Less than HS","Black"
"No Coverage",37,0,"Non-citizen","Never Married","HS Degree","Other"
"No Coverage",22,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",38,17000,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",34,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",53,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",39,23600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",34,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",38,510,"Non-citizen","Married","Graduate Degree","Asian"
"No Coverage",24,0,"Non-citizen","Married","Less than HS","Asian"
"No Coverage",44,44300,"Non-citizen","Married","Less than HS","Other"
"No Coverage",38,30000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",17,0,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",17,20000,"Citizen","Never Married","Less than HS","Other"
"No Coverage",25,48000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",27,300,"Citizen","Never Married","HS Degree","White"
"No Coverage",34,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",35,0,"Non-citizen","Married","HS Degree","Two or More"
"No Coverage",34,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",30,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",42,40000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",48,25000,"Citizen","Married","HS Degree","White"
"No Coverage",46,12000,"Citizen","Married","Less than HS","White"
"No Coverage",49,5000,"Citizen","Never Married","Less than HS","White"
"No Coverage",51,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",55,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",42,21000,"Non-citizen","Married","Less than HS","White"
"No Coverage",42,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",19,18000,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",33,25000,"Non-citizen","Separated","Less than HS","White"
"No Coverage",33,20000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",29,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",47,1000,"Citizen","Divorced","Less than HS","White"
"No Coverage",21,1000,"Citizen","Never Married","HS Degree","White"
"No Coverage",25,3000,"Citizen","Never Married","HS Degree","White"
"No Coverage",56,3500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",51,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",54,7200,"Citizen","Married","HS Degree","Black"
"No Coverage",64,0,"Citizen","Married","Less than HS","Black"
"No Coverage",60,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",39,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",33,0,"Citizen","Married","HS Degree","Black"
"No Coverage",26,21100,"Citizen","Never Married","Less than HS","Black"
"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",40,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",51,0,"Citizen","Married","HS Degree","White"
"No Coverage",26,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",44,30000,"Citizen","Never Married","HS Degree","White"
"No Coverage",41,15600,"Non-citizen","Married","Less than HS","Other"
"No Coverage",38,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",36,14500,"Non-citizen","Married","Less than HS","White"
"No Coverage",30,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",26,10500,"Citizen","Never Married","HS Degree","White"
"No Coverage",47,0,"Citizen","Married","HS Degree","Black"
"No Coverage",21,10000,"Citizen","Never Married","Less than HS","Asian"
"No Coverage",52,0,"Citizen","Widowed","HS Degree","White"
"No Coverage",63,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",36,0,"Citizen","Married","HS Degree","White"
"No Coverage",42,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",42,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",44,15000,"Non-citizen","Married","HS Degree","Other"
"No Coverage",47,35000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",54,100000,"Non-citizen","Married","Graduate Degree","White"
"No Coverage",29,10000,"Citizen","Never Married","Graduate Degree","Black"
"No Coverage",44,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",54,0,"Citizen","Widowed","Less than HS","White"
"No Coverage",63,0,"Citizen","Widowed","Undergraduate Degree","White"
"No Coverage",46,15000,"Citizen","Married","HS Degree","White"
"No Coverage",18,230,"Citizen","Never Married","HS Degree","Other"
"No Coverage",31,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",66,0,"Citizen","Separated","Undergraduate Degree","Black"
"No Coverage",30,25000,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",56,15600,"Citizen","Divorced","HS Degree","Black"
"No Coverage",39,28800,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",21,700,"Citizen","Never Married","HS Degree","Black"
"No Coverage",41,0,"Citizen","Divorced","Undergraduate Degree","Amer. Ind."
"No Coverage",19,10000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",42,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",36,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",26,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",27,1000,"Citizen","Married","Less than HS","White"
"No Coverage",56,0,"Citizen","Divorced","Undergraduate Degree","Black"
"No Coverage",43,20000,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",51,3200,"Citizen","Never Married","HS Degree","Black"
"No Coverage",26,36000,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",55,1200,"Citizen","Never Married","Less than HS","White"
"No Coverage",35,15000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",43,100000,"Citizen","Married","Graduate Degree","Black"
"No Coverage",34,0,"Citizen","Married","Less than HS","Black"
"No Coverage",43,75000,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",50,75000,"Citizen","Married","HS Degree","White"
"No Coverage",30,0,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",34,0,"Citizen","Married","Less than HS","White"
"No Coverage",25,12000,"Non-citizen","Married","Less than HS","White"
"No Coverage",48,900,"Citizen","Never Married","Less than HS","Other"
"No Coverage",42,0,"Citizen","Married","Undergraduate Degree","Black"
"No Coverage",32,20000,"Citizen","Married","HS Degree","Black"
"No Coverage",60,0,"Citizen","Widowed","HS Degree","Black"
"No Coverage",37,0,"Citizen","Married","HS Degree","White"
"No Coverage",35,8000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",76,18700,"Non-citizen","Married","Less than HS","White"
"No Coverage",72,10500,"Non-citizen","Married","HS Degree","White"
"No Coverage",37,12000,"Citizen","Divorced","Undergraduate Degree","Asian"
"No Coverage",60,0,"Non-citizen","Divorced","Less than HS","Asian"
"No Coverage",57,22000,"Citizen","Married","HS Degree","White"
"No Coverage",26,300,"Citizen","Never Married","HS Degree","White"
"No Coverage",53,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",36,9600,"Citizen","Divorced","HS Degree","White"
"No Coverage",30,30000,"Citizen","Married","HS Degree","White"
"No Coverage",27,14300,"Citizen","Never Married","HS Degree","White"
"No Coverage",28,0,"Citizen","Never Married","Undergraduate Degree","Asian"
"No Coverage",21,5000,"Citizen","Never Married","HS Degree","White"
"No Coverage",30,0,"Citizen","Married","HS Degree","Black"
"No Coverage",40,14700,"Citizen","Married","HS Degree","Black"
"No Coverage",45,13000,"Non-citizen","Married","HS Degree","White"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",19,8000,"Citizen","Never Married","HS Degree","White"
"No Coverage",25,20000,"Citizen","Never Married","HS Degree","Two or More"
"No Coverage",42,22000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",17,7000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",53,0,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",22,35900,"Citizen","Never Married","HS Degree","Black"
"No Coverage",50,30000,"Citizen","Married","HS Degree","White"
"No Coverage",52,45000,"Citizen","Married","HS Degree","White"
"No Coverage",56,1900,"Citizen","Never Married","HS Degree","Black"
"No Coverage",62,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",48,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",52,7300,"Citizen","Separated","HS Degree","Black"
"No Coverage",21,14500,"Citizen","Never Married","Less than HS","Other"
"No Coverage",34,11300,"Citizen","Never Married","Less than HS","Black"
"No Coverage",38,25000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",62,0,"Citizen","Married","Less than HS","White"
"No Coverage",60,0,"Citizen","Married","HS Degree","White"
"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",62,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",30,13000,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",62,0,"Citizen","Widowed","HS Degree","Asian"
"No Coverage",41,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",48,36000,"Non-citizen","Married","Less than HS","White"
"No Coverage",27,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",33,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",24,0,"Citizen","Never Married","HS Degree","Two or More"
"No Coverage",31,20000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",58,12000,"Citizen","Married","Less than HS","Black"
"No Coverage",22,4000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",27,20000,"Citizen","Married","HS Degree","Black"
"No Coverage",63,0,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",54,9600,"Citizen","Married","HS Degree","Black"
"No Coverage",51,0,"Citizen","Divorced","Graduate Degree","White"
"No Coverage",59,15000,"Citizen","Divorced","HS Degree","White"
"No Coverage",28,30000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",64,4900,"Citizen","Divorced","Less than HS","Black"
"No Coverage",47,0,"Citizen","Divorced","Less than HS","Black"
"No Coverage",30,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",54,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",27,23000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",39,0,"Citizen","Married","Undergraduate Degree","Two or More"
"No Coverage",57,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",52,58000,"Citizen","Married","HS Degree","White"
"No Coverage",58,36000,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",43,0,"Non-citizen","Married","Less than HS","Asian"
"No Coverage",39,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",30,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",30,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",30,11000,"Citizen","Divorced","Undergraduate Degree","White"
"No Coverage",60,75000,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",58,0,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",44,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",37,16000,"Citizen","Divorced","HS Degree","White"
"No Coverage",26,48000,"Citizen","Married","Less than HS","White"
"No Coverage",27,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",42,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",73,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",34,0,"Citizen","Married","Less than HS","White"
"No Coverage",52,6000,"Citizen","Divorced","HS Degree","White"
"No Coverage",19,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",39,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",27,30000,"Citizen","Married","Undergraduate Degree","Black"
"No Coverage",41,6800,"Citizen","Never Married","HS Degree","White"
"No Coverage",46,45000,"Non-citizen","Married","HS Degree","Other"
"No Coverage",51,0,"Non-citizen","Married","HS Degree","Other"
"No Coverage",28,21000,"Citizen","Divorced","Less than HS","White"
"No Coverage",54,0,"Citizen","Married","HS Degree","White"
"No Coverage",29,2200,"Citizen","Never Married","HS Degree","White"
"No Coverage",24,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",62,0,"Citizen","Widowed","Less than HS","White"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",53,3500,"Citizen","Divorced","Less than HS","Black"
"No Coverage",51,26000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",27,21400,"Citizen","Never Married","HS Degree","White"
"No Coverage",26,3000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",64,0,"Citizen","Married","Less than HS","Black"
"No Coverage",26,25000,"Citizen","Never Married","HS Degree","White"
"No Coverage",43,23000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",37,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",46,22000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",59,15100,"Citizen","Never Married","HS Degree","Black"
"No Coverage",22,19700,"Citizen","Never Married","HS Degree","Two or More"
"No Coverage",48,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",22,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",55,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",30,7300,"Citizen","Never Married","HS Degree","Black"
"No Coverage",26,12000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",61,14700,"Citizen","Divorced","HS Degree","White"
"No Coverage",57,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",33,10000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",45,0,"Non-citizen","Never Married","HS Degree","Asian"
"No Coverage",42,12000,"Citizen","Never Married","HS Degree","White"
"No Coverage",36,0,"Citizen","Married","HS Degree","White"
"No Coverage",29,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",27,74000,"Citizen","Married","HS Degree","White"
"No Coverage",27,9000,"Citizen","Married","HS Degree","White"
"No Coverage",46,0,"Citizen","Married","HS Degree","White"
"No Coverage",46,0,"Citizen","Married","HS Degree","White"
"No Coverage",17,900,"Citizen","Never Married","Less than HS","White"
"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",28,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",55,0,"Citizen","Widowed","Graduate Degree","White"
"No Coverage",52,0,"Citizen","Married","HS Degree","White"
"No Coverage",56,0,"Citizen","Married","HS Degree","White"
"No Coverage",48,25000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",19,3000,"Citizen","Never Married","HS Degree","White"
"No Coverage",67,0,"Citizen","Separated","HS Degree","White"
"No Coverage",23,22000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",46,0,"Citizen","Married","HS Degree","White"
"No Coverage",35,50000,"Citizen","Never Married","HS Degree","White"
"No Coverage",16,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",24,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",25,36000,"Citizen","Never Married","HS Degree","Other"
"No Coverage",32,60000,"Citizen","Never Married","Less than HS","Two or More"
"No Coverage",22,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",46,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",35,0,"Non-citizen","Married","Graduate Degree","Black"
"No Coverage",37,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",49,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",63,0,"Citizen","Widowed","HS Degree","White"
"No Coverage",40,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",55,0,"Citizen","Married","HS Degree","Black"
"No Coverage",53,0,"Citizen","Married","HS Degree","Black"
"No Coverage",60,10400,"Citizen","Never Married","Less than HS","Black"
"No Coverage",57,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",29,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",24,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",56,16000,"Citizen","Never Married","HS Degree","White"
"No Coverage",59,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",41,0,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",47,7200,"Citizen","Married","Graduate Degree","White"
"No Coverage",29,4500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",59,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",62,0,"Citizen","Married","Less than HS","Black"
"No Coverage",22,17700,"Citizen","Never Married","HS Degree","Black"
"No Coverage",18,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",61,0,"Citizen","Married","HS Degree","White"
"No Coverage",51,0,"Citizen","Married","HS Degree","White"
"No Coverage",25,9100,"Citizen","Never Married","HS Degree","White"
"No Coverage",23,28000,"Citizen","Never Married","HS Degree","White"
"No Coverage",22,160,"Citizen","Never Married","HS Degree","White"
"No Coverage",46,0,"Citizen","Married","HS Degree","Black"
"No Coverage",23,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",31,16000,"Citizen","Divorced","HS Degree","White"
"No Coverage",40,24000,"Non-citizen","Married","Less than HS","White"
"No Coverage",26,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",37,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",46,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",41,0,"Citizen","Divorced","Graduate Degree","Black"
"No Coverage",32,26000,"Non-citizen","Married","Less than HS","White"
"No Coverage",55,0,"Citizen","Married","HS Degree","Black"
"No Coverage",27,25000,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",27,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",23,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",51,0,"Citizen","Married","HS Degree","Black"
"No Coverage",51,0,"Citizen","Married","HS Degree","White"
"No Coverage",19,8000,"Citizen","Never Married","HS Degree","White"
"No Coverage",59,65000,"Citizen","Married","HS Degree","White"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",49,72000,"Citizen","Divorced","HS Degree","White"
"No Coverage",49,13000,"Citizen","Never Married","Less than HS","Other"
"No Coverage",18,3600,"Non-citizen","Never Married","HS Degree","Asian"
"No Coverage",22,9600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",18,900,"Citizen","Never Married","HS Degree","Black"
"No Coverage",56,0,"Citizen","Separated","HS Degree","Black"
"No Coverage",39,62000,"Citizen","Married","Graduate Degree","White"
"No Coverage",38,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",51,8000,"Citizen","Married","HS Degree","Black"
"No Coverage",53,0,"Citizen","Married","Less than HS","Black"
"No Coverage",31,11600,"Citizen","Never Married","HS Degree","White"
"No Coverage",35,13100,"Citizen","Married","HS Degree","Black"
"No Coverage",32,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",28,15600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",21,0,"Non-citizen","Never Married","Less than HS","Asian"
"No Coverage",27,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",37,7500,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",19,200,"Citizen","Never Married","HS Degree","White"
"No Coverage",29,19000,"Citizen","Never Married","HS Degree","White"
"No Coverage",57,0,"Citizen","Married","HS Degree","White"
"No Coverage",21,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",34,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",30,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",60,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",26,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",59,7100,"Citizen","Never Married","Less than HS","Black"
"No Coverage",56,5600,"Citizen","Married","HS Degree","Black"
"No Coverage",68,0,"Citizen","Married","HS Degree","Black"
"No Coverage",35,8000,"Citizen","Never Married","HS Degree","White"
"No Coverage",38,35000,"Non-citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",49,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",30,57000,"Citizen","Married","HS Degree","Two or More"
"No Coverage",24,25000,"Citizen","Married","Less than HS","Two or More"
"No Coverage",54,48800,"Citizen","Married","HS Degree","White"
"No Coverage",34,18000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",65,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",28,16000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",35,24000,"Citizen","Separated","Undergraduate Degree","Black"
"No Coverage",43,25000,"Citizen","Widowed","Less than HS","White"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",57,0,"Citizen","Separated","HS Degree","Black"
"No Coverage",41,1500,"Citizen","Divorced","Less than HS","White"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","Two or More"
"No Coverage",42,24000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",38,25000,"Citizen","Married","Less than HS","Other"
"No Coverage",46,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",36,20000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",38,14400,"Citizen","Married","HS Degree","Black"
"No Coverage",60,0,"Citizen","Married","HS Degree","White"
"No Coverage",36,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",34,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",30,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",36,18000,"Citizen","Divorced","HS Degree","White"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",34,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",44,0,"Non-citizen","Married","HS Degree","Other"
"No Coverage",38,0,"Citizen","Married","HS Degree","Other"
"No Coverage",28,2000,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",51,0,"Citizen","Widowed","HS Degree","White"
"No Coverage",63,0,"Citizen","Widowed","HS Degree","Black"
"No Coverage",60,0,"Citizen","Divorced","Graduate Degree","White"
"No Coverage",19,2300,"Citizen","Never Married","HS Degree","Black"
"No Coverage",22,1000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",44,39000,"Citizen","Widowed","Undergraduate Degree","Black"
"No Coverage",23,9000,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",19,0,"Citizen","Married","Less than HS","Black"
"No Coverage",30,0,"Citizen","Never Married","HS Degree","Asian"
"No Coverage",62,0,"Citizen","Never Married","HS Degree","Asian"
"No Coverage",29,0,"Citizen","Married","Less than HS","Black"
"No Coverage",39,30000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",24,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",43,12700,"Citizen","Married","HS Degree","White"
"No Coverage",44,18000,"Non-citizen","Married","HS Degree","White"
"No Coverage",37,40000,"Non-citizen","Married","Less than HS","White"
"No Coverage",19,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",59,0,"Non-citizen","Separated","Undergraduate Degree","Asian"
"No Coverage",37,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",44,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",32,0,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",22,0,"Non-citizen","Never Married","HS Degree","Black"
"No Coverage",45,54000,"Citizen","Divorced","HS Degree","White"
"No Coverage",41,0,"Citizen","Never Married","Undergraduate Degree","Amer. Ind."
"No Coverage",21,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",54,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",24,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",51,19900,"Citizen","Married","HS Degree","White"
"No Coverage",35,10000,"Citizen","Never Married","HS Degree","White"
"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",21,6500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",29,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",62,80,"Citizen","Divorced","Undergraduate Degree","White"
"No Coverage",52,6400,"Citizen","Widowed","Undergraduate Degree","White"
"No Coverage",55,32500,"Citizen","Married","HS Degree","Black"
"No Coverage",24,12500,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",59,880,"Citizen","Never Married","HS Degree","Black"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",16,20000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",36,18000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",32,29000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",44,15000,"Citizen","Married","Less than HS","White"
"No Coverage",37,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",16,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",24,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",25,15000,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",35,20000,"Non-citizen","Married","HS Degree","White"
"No Coverage",30,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",60,0,"Citizen","Separated","HS Degree","Black"
"No Coverage",25,23000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",44,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",45,0,"Citizen","Married","HS Degree","White"
"No Coverage",64,1500,"Citizen","Married","Undergraduate Degree","Asian"
"No Coverage",30,13700,"Citizen","Separated","HS Degree","Black"
"No Coverage",25,29000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",34,28000,"Citizen","Never Married","Graduate Degree","White"
"No Coverage",23,2000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",20,1000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",49,60000,"Citizen","Married","HS Degree","White"
"No Coverage",51,66000,"Citizen","Divorced","Undergraduate Degree","White"
"No Coverage",42,0,"Citizen","Married","HS Degree","Black"
"No Coverage",21,9600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",22,3000,"Citizen","Never Married","HS Degree","White"
"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",21,40000,"Citizen","Never Married","HS Degree","Other"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Other"
"No Coverage",33,33600,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",21,1300,"Citizen","Never Married","HS Degree","White"
"No Coverage",40,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",52,0,"Citizen","Married","HS Degree","White"
"No Coverage",23,30000,"Citizen","Never Married","HS Degree","White"
"No Coverage",16,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",60,0,"Citizen","Married","Less than HS","White"
"No Coverage",28,18000,"Non-citizen","Married","Less than HS","Amer. Ind."
"No Coverage",37,5500,"Non-citizen","Married","Less than HS","Amer. Ind."
"No Coverage",34,24000,"Citizen","Married","HS Degree","White"
"No Coverage",27,0,"Citizen","Married","HS Degree","White"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Two or More"
"No Coverage",36,13100,"Citizen","Divorced","Graduate Degree","Two or More"
"No Coverage",61,22000,"Citizen","Separated","Less than HS","White"
